checking_hour,hour,minute,day_of_week,room,capacity,floor,status
6,12,0,0,436,4,4,0
6,12,15,0,436,4,4,0
6,15,0,0,436,4,4,0
6,11,30,0,436,4,4,0
6,12,30,0,436,4,4,0
6,11,15,0,436,4,4,0
6,11,0,0,436,4,4,0
6,11,45,0,436,4,4,0
6,12,45,0,436,4,4,1
6,14,15,0,436,4,4,1
6,13,15,0,436,4,4,1
6,13,30,0,436,4,4,1
6,13,45,0,436,4,4,1
6,14,0,0,436,4,4,1
6,14,30,0,436,4,4,1
6,15,15,0,436,4,4,0
6,10,45,0,436,4,4,0
6,14,45,0,436,4,4,0
6,13,0,0,436,4,4,1
6,10,30,0,436,4,4,0
6,6,45,0,436,4,4,1
6,10,0,0,436,4,4,0
6,23,0,0,358,4,3,1
6,15,30,0,436,4,4,0
6,22,45,0,358,4,3,1
6,23,15,0,358,4,3,1
6,23,30,0,358,4,3,1
6,23,45,0,358,4,3,1
6,7,0,0,436,4,4,1
6,7,15,0,436,4,4,1
6,10,15,0,436,4,4,0
6,7,30,0,436,4,4,1
6,8,0,0,436,4,4,1
6,8,15,0,436,4,4,1
6,8,30,0,436,4,4,1
6,8,45,0,436,4,4,1
6,9,0,0,436,4,4,1
6,9,15,0,436,4,4,1
6,9,30,0,436,4,4,1
6,9,45,0,436,4,4,1
6,7,45,0,436,4,4,1
6,15,45,0,436,4,4,0
6,7,15,0,437,4,4,1
6,16,15,0,436,4,4,0
6,22,0,0,436,4,4,0
6,22,15,0,436,4,4,0
6,22,30,0,436,4,4,0
6,22,45,0,436,4,4,0
6,23,0,0,436,4,4,0
6,23,15,0,436,4,4,0
6,23,30,0,436,4,4,0
6,23,45,0,436,4,4,1
6,21,45,0,436,4,4,0
6,6,45,0,437,4,4,1
6,7,30,0,437,4,4,1
6,7,45,0,437,4,4,1
6,8,0,0,437,4,4,1
6,8,15,0,437,4,4,1
6,8,30,0,437,4,4,1
6,8,45,0,437,4,4,1
6,22,30,0,358,4,3,1
6,9,0,0,437,4,4,1
6,7,0,0,437,4,4,1
6,16,0,0,436,4,4,0
6,21,30,0,436,4,4,0
6,21,0,0,436,4,4,0
6,16,30,0,436,4,4,0
6,16,45,0,436,4,4,0
6,17,0,0,436,4,4,0
6,17,15,0,436,4,4,1
6,17,30,0,436,4,4,1
6,17,45,0,436,4,4,0
6,18,0,0,436,4,4,0
6,18,15,0,436,4,4,0
6,21,15,0,436,4,4,0
6,18,30,0,436,4,4,0
6,19,0,0,436,4,4,0
6,19,15,0,436,4,4,0
6,19,30,0,436,4,4,0
6,19,45,0,436,4,4,0
6,20,0,0,436,4,4,0
6,20,15,0,436,4,4,0
6,20,30,0,436,4,4,0
6,20,45,0,436,4,4,0
6,18,45,0,436,4,4,0
6,22,15,0,358,4,3,1
6,21,15,0,357,4,3,0
6,21,45,0,358,4,3,1
6,23,15,0,357,4,3,1
6,23,30,0,357,4,3,1
6,23,45,0,357,4,3,1
6,6,45,0,358,4,3,1
6,7,0,0,358,4,3,1
6,7,15,0,358,4,3,1
6,7,30,0,358,4,3,1
6,7,45,0,358,4,3,1
6,23,0,0,357,4,3,1
6,8,0,0,358,4,3,1
6,8,30,0,358,4,3,1
6,8,45,0,358,4,3,1
6,9,0,0,358,4,3,1
6,9,15,0,358,4,3,1
6,9,30,0,358,4,3,1
6,9,45,0,358,4,3,1
6,10,0,0,358,4,3,1
6,10,15,0,358,4,3,1
6,8,15,0,358,4,3,1
6,10,30,0,358,4,3,1
6,22,45,0,357,4,3,1
6,22,15,0,357,4,3,1
6,9,15,0,437,4,4,1
6,17,45,0,357,4,3,0
6,18,0,0,357,4,3,0
6,18,15,0,357,4,3,0
6,18,30,0,357,4,3,1
6,18,45,0,357,4,3,0
6,19,0,0,357,4,3,0
6,19,15,0,357,4,3,0
6,22,30,0,357,4,3,1
6,19,30,0,357,4,3,0
6,20,0,0,357,4,3,0
6,20,15,0,357,4,3,0
6,20,30,0,357,4,3,0
6,20,45,0,357,4,3,0
6,21,0,0,357,4,3,0
6,21,30,0,357,4,3,0
6,21,45,0,357,4,3,0
6,22,0,0,357,4,3,0
6,19,45,0,357,4,3,0
6,10,45,0,358,4,3,1
6,11,0,0,358,4,3,1
6,11,15,0,358,4,3,1
6,17,15,0,358,4,3,0
6,17,30,0,358,4,3,0
6,17,45,0,358,4,3,0
6,18,0,0,358,4,3,0
6,18,15,0,358,4,3,0
6,18,30,0,358,4,3,0
6,18,45,0,358,4,3,0
6,19,0,0,358,4,3,0
6,17,0,0,358,4,3,0
6,19,15,0,358,4,3,0
6,19,45,0,358,4,3,0
6,20,0,0,358,4,3,0
6,20,15,0,358,4,3,1
6,20,30,0,358,4,3,1
6,20,45,0,358,4,3,1
6,21,0,0,358,4,3,1
6,21,15,0,358,4,3,1
6,21,30,0,358,4,3,1
6,19,30,0,358,4,3,0
6,16,45,0,358,4,3,0
6,16,30,0,358,4,3,0
6,16,15,0,358,4,3,0
6,11,30,0,358,4,3,1
6,11,45,0,358,4,3,1
6,12,0,0,358,4,3,1
6,12,15,0,358,4,3,1
6,12,30,0,358,4,3,1
6,12,45,0,358,4,3,1
6,13,0,0,358,4,3,1
6,13,15,0,358,4,3,1
6,13,30,0,358,4,3,1
6,13,45,0,358,4,3,0
6,14,0,0,358,4,3,0
6,14,15,0,358,4,3,0
6,14,30,0,358,4,3,0
6,14,45,0,358,4,3,0
6,15,0,0,358,4,3,0
6,15,15,0,358,4,3,0
6,15,30,0,358,4,3,0
6,15,45,0,358,4,3,0
6,16,0,0,358,4,3,0
6,22,0,0,358,4,3,1
6,9,30,0,437,4,4,1
6,11,45,0,440,4,4,0
6,10,0,0,437,4,4,1
6,20,45,0,438,4,4,1
6,21,0,0,438,4,4,1
6,21,15,0,438,4,4,1
6,21,30,0,438,4,4,1
6,21,45,0,438,4,4,1
6,22,0,0,438,4,4,1
6,22,15,0,438,4,4,1
6,22,30,0,438,4,4,1
6,20,30,0,438,4,4,1
6,22,45,0,438,4,4,1
6,23,15,0,438,4,4,1
6,23,30,0,438,4,4,1
6,23,45,0,438,4,4,1
6,6,45,0,440,4,4,1
6,7,0,0,440,4,4,1
6,7,15,0,440,4,4,1
6,7,30,0,440,4,4,1
6,7,45,0,440,4,4,1
6,23,0,0,438,4,4,1
6,8,0,0,440,4,4,1
6,20,15,0,438,4,4,0
6,19,45,0,438,4,4,0
6,15,15,0,438,4,4,0
6,15,30,0,438,4,4,0
6,15,45,0,438,4,4,1
6,16,0,0,438,4,4,1
6,16,15,0,438,4,4,1
6,16,30,0,438,4,4,1
6,16,45,0,438,4,4,1
6,17,0,0,438,4,4,0
6,20,0,0,438,4,4,0
6,17,15,0,438,4,4,0
6,17,45,0,438,4,4,0
6,18,0,0,438,4,4,0
6,18,15,0,438,4,4,0
6,18,30,0,438,4,4,0
6,18,45,0,438,4,4,0
6,19,0,0,438,4,4,0
6,19,15,0,438,4,4,0
6,19,30,0,438,4,4,0
6,17,30,0,438,4,4,0
6,15,0,0,438,4,4,0
6,8,15,0,440,4,4,1
6,8,45,0,440,4,4,1
6,14,30,0,440,4,4,0
6,14,45,0,440,4,4,0
6,15,0,0,440,4,4,0
6,15,15,0,440,4,4,0
6,15,30,0,440,4,4,0
6,15,45,0,440,4,4,0
6,16,0,0,440,4,4,0
6,16,15,0,440,4,4,0
6,14,15,0,440,4,4,0
6,16,30,0,440,4,4,0
6,17,0,0,440,4,4,1
6,17,15,0,440,4,4,0
6,17,30,0,440,4,4,0
6,17,45,0,440,4,4,0
6,18,0,0,440,4,4,0
6,18,15,0,440,4,4,0
6,18,30,0,440,4,4,0
6,18,45,0,440,4,4,0
6,16,45,0,440,4,4,1
6,8,30,0,440,4,4,1
6,14,0,0,440,4,4,0
6,13,30,0,440,4,4,0
6,9,0,0,440,4,4,1
6,9,15,0,440,4,4,1
6,9,30,0,440,4,4,1
6,9,45,0,440,4,4,0
6,10,0,0,440,4,4,0
6,10,15,0,440,4,4,0
6,10,30,0,440,4,4,0
6,10,45,0,440,4,4,0
6,13,45,0,440,4,4,0
6,11,0,0,440,4,4,0
